interval	n_switch_errors_grch38	n_switch_errors_chm13	n_checked_grch38	n_checked_chm13	switch_error_rate_grch38	switch_error_rate_chm13	n_gt_checked_grch38	n_gt_checked_chm13	genotype_error_rate_grch38	genotype_error_rate_chm13	abs_diff_GER	rel_drop_GER	abs_diff_SER	rel_drop_SER	decipher
9p12	1014	72	7402	2617	13.699000270197246	2.751241880015285	91706	24790	16.95636054347589	5.114965711980638	11.84139483149525	69.8345308306819	10.94775839018196	79.9164769271468	False
10q11.22	1771	552	70591	44214	2.508818404612486	1.248473334238024	580390	322394	5.6344871551887525	4.0859941562187885	1.548492998969964	27.482412441813263	1.2603450703744619	50.236600148392796	False
10p12.32	45	22	4865	4522	0.9249743062692704	0.4865103936311367	30026	28157	0.8925597815226803	0.5646908406435345	0.32786894087914586	36.73355529416879	0.43846391263813367	47.40282077743379	False
6p21.32	976	477	203990	171938	0.47845482621697144	0.27742558364061465	914834	767662	1.9371820461417044	0.7374339227420401	1.1997481233996643	61.932647258899024	0.2010292425763568	42.01634753396621	False
15q11.2	1927	857	151041	111492	1.2758125277242602	0.7686650163240413	1003012	721733	3.5641647358157234	0.799048955777275	2.7651157800384483	77.58103188251206	0.507147511400219	39.7509430562535	True
16p12.2	1462	792	71002	63060	2.0590969268471313	1.2559467174119887	535588	440490	1.9135977654465748	1.2109241980521692	0.7026735673944056	36.720024452496325	0.8031502094351426	39.004973440707246	True
8p23.1	4470	2001	315945	226297	1.414803209419361	0.8842362028661449	2058897	1447837	1.4494168479530545	0.6431663232808665	0.8062505246721879	55.62585572334273	0.5305670065532161	37.501116976612046	True
15q13.1	1339	702	87031	72296	1.5385322471303329	0.9710080779019586	584572	462218	1.3933270837467413	0.8197430649606895	0.5735840187860518	41.16650178389194	0.5675241692283742	36.88737563264722	True
15q22.1	111	67	6194	5905	1.7920568291895385	1.1346316680779	43874	41339	1.7276747048365775	1.3740051767096446	0.35366952812693286	20.470840207178163	0.6574251611116384	36.68550853986926	False
9p13.1	802	422	43454	35375	1.8456298614626963	1.1929328621908126	312420	241082	2.3778887395173163	0.9308036269816908	1.4470851125356254	60.85587977633331	0.6526969992718836	35.36445811266886	False
2q12.2	726	436	65312	58469	1.1115874571288584	0.7456942995433478	410177	356355	0.8345177813480521	0.6639446619242048	0.17057311942384734	20.439722584258092	0.36589315758551066	32.91627260086071	False
14q11.2	4639	2596	235393	195997	1.9707467936599645	1.324510069031669	1500779	1183890	4.546372250677814	1.0875165767089847	3.45885567396883	76.07946475243315	0.6462367246282956	32.79146396215313	False
15q22.33	112	74	9672	9395	1.1579818031430935	0.7876530069185737	55300	53469	0.8698010849909584	0.6040883502590286	0.2657127347319298	30.548678234253046	0.37032879622451986	31.980536759674607	False
2q21.1	1305	685	101019	73727	1.2918361892317287	0.9291033135757591	705785	495197	3.490723095560263	2.584627935952762	0.9060951596075006	25.957233925542067	0.36273287565596957	28.078860050490718	False
16p13.11	997	601	43526	35979	2.2905849377383634	1.6704188554434531	306634	245586	6.334587814788967	4.4530225664329395	1.8815652483560275	29.703041513818064	0.6201660822949102	27.074572615815708	True
10q23.2	747	440	60453	48797	1.235670686318297	0.9016947763182163	417130	334141	1.2365449620022535	0.8487434945127955	0.387801467489458	31.3616956444121	0.33397591000008064	27.02790587313906	False
Xp22.13	426	288	19924	18348	2.138124874523188	1.5696533682145193	276042	246870	1.1914853536780634	0.8279661360230081	0.36351921765505535	30.509751255681607	0.5684715063086687	26.587385661253325	False
10q23.32	471	312	38462	34663	1.2245853049763402	0.9000952023771744	262613	229151	1.0631613819574812	0.618369546718103	0.44479183523937826	41.83671856293655	0.3244901025991658	26.497958229658416	False
16p11.2	1850	944	93075	64534	1.98764437281762	1.4627948058387825	769414	491006	3.074027766585999	2.181032411009234	0.8929953555767653	29.0496841077178	0.5248495669788376	26.40560726840827	True
21q11.2	935	526	78630	59575	1.189113569884268	0.8829206882081411	534190	388944	1.8744267021097363	1.1829466452754125	0.6914800568343238	36.89021587539473	0.306192881676127	25.749675172399854	False
Xq27.1	651	436	40838	36829	1.5941035310250258	1.1838496836731924	449007	400374	1.4202451186729828	1.1449294909259842	0.2753156277469986	19.385078260592227	0.41025384735183335	25.73570909086662	False
Xq13.2	364	240	18645	16538	1.9522660230624833	1.4512032893941227	245349	212160	2.1944250842677167	2.0724924585218703	0.1219326257458464	5.556472472904472	0.5010627336683606	25.66569964078732	False
10p11.21	1669	1714	144288	197347	1.1567143490796186	0.8685209301382844	1066138	1375841	1.596885206230338	1.3127970455888436	0.28408816064149445	17.790142931571307	0.2881934189413342	24.914830456684978	False
15q24.2	631	414	41280	35956	1.5285852713178294	1.1514072755590166	310917	268357	1.2662543379744433	0.9707218369559952	0.2955325010184481	23.339110647486116	0.37717799575881283	24.674972527612983	True
Xq22.3	959	655	63798	57598	1.5031819179284618	1.1371922636202645	703365	624078	1.112366978737924	0.836433907300049	0.27593307143787504	24.805938751521083	0.3659896543081973	24.347662112152623	False
15q15.2	269	190	16517	15331	1.628625052975722	1.2393190268084273	166936	150364	1.044711745818757	0.7388736665691256	0.30583807924963136	29.274877062853477	0.3893060261672947	23.903968900391103	False
15q24.3	665	437	62380	53851	1.06604680987496	0.8114983937159941	436339	376803	1.168815989402735	0.9689413300849516	0.19987465931778337	17.100609602365157	0.25454841615896595	23.877789774430514	False
6q23.3	1405	1011	131459	123967	1.0687742946470002	0.8155396194148443	917610	858152	0.7290679046653807	0.5839291873700697	0.14513871729531103	19.90743473502995	0.2532346752321559	23.693933929782197	False
11p15.2	953	630	102432	88730	0.9303733208372383	0.7100191592471543	692601	593947	0.8143216657209563	0.5614979114298078	0.25282375429114856	31.047160469114143	0.22035416159008403	23.68448843651153	False
15q25.2	1378	922	82862	72594	1.6630059617194854	1.2700774168664077	661557	570402	1.3376020509192708	0.9282926777956599	0.4093093731236108	30.600235162790888	0.3929285448530777	23.62760891408978	False
Xq22.2	255	176	12141	10962	2.100321225599209	1.60554643313264	152139	135681	2.0323519939003147	1.9273148045783859	0.10503718932192885	5.16825774458245	0.4947747924665693	23.55710100132007	True
3q25.2	1295	907	117186	106991	1.1050808117010564	0.8477348562028583	823420	745929	0.8158655364212675	0.5389252864548771	0.27694024996639033	33.94434960216211	0.25734595549819816	23.28752366101301	False
5q13.2	1287	789	125530	100064	1.0252529275870308	0.7884953629677007	802150	632199	1.5631739699557439	0.6907635095911256	0.8724104603646182	55.8101962502176	0.23675756461933006	23.092600688939015	False
18p11.23	603	436	59752	55984	1.009171241130004	0.778793941126036	397317	372387	0.6886189113478658	0.4844422603366928	0.204176651011173	29.65016610007537	0.23037730000396806	22.8283655552854	False
Xq27.2	541	364	42920	37379	1.2604846225535882	0.9738088231359854	446238	377637	1.277121177488246	0.9908986672386445	0.28622251024960155	22.411538959249288	0.2866757994176028	22.74330002033921	False
14q31.2	483	350	48894	45660	0.9878512700944901	0.7665352606219886	338419	317172	0.735774291632562	0.5098180167227876	0.22595627490977443	30.709998634012425	0.22131600947250152	22.403778399893348	False
17q23.3	639	416	42975	36007	1.486910994764398	1.1553309078790237	344748	287190	1.1591075220160811	0.9237786831017792	0.2353288389143019	20.30258922873568	0.3315800868853742	22.29992837855862	False
10q26.3	2442	1795	244190	230983	1.0000409517179245	0.7771134672248607	1611852	1503886	1.164436933415723	0.868682865589546	0.29575406782617697	25.398891029557202	0.22292748449306377	22.291835560344488	False
2p23.2	928	688	83216	79301	1.1151701595846952	0.8675804844831717	564662	531021	0.9010700206495214	0.6365096672259666	0.2645603534235548	29.36068755598492	0.24758967510152352	22.201963796603863	False
8p23.3	1415	900	130782	106834	1.0819531739841874	0.8424284403841473	853269	682955	0.7632997331439441	0.41130089098110423	0.35199884216283983	46.11541533140553	0.23952473360004012	22.138179300127526	False
1q21.2	839	449	55408	38057	1.5142217730291654	1.1798092335181438	444492	267803	2.1363714082593166	1.4925150203694508	0.6438563878898658	30.137848943338476	0.33441253951102157	22.084779486563388	True
Xq13.1	972	670	58039	51267	1.6747359534106376	1.3068835703278912	722163	622323	1.7520975181503344	1.3835259182128894	0.36857159993744504	21.036020890352102	0.3678523830827465	21.964798828950126	False
8q23.2	598	420	48315	43437	1.237710855841871	0.9669176048069618	376156	338272	0.9727347164474314	0.7810282849304702	0.1917064315169612	19.70798700565566	0.27079325103490925	21.878555056440874	False
10q24.31	466	340	40795	38017	1.1422968501041793	0.894336744088171	279057	256207	1.148152527978155	0.8774155272884816	0.27073700068967343	23.580229463626157	0.24796010601600826	21.7071513410366	False
