Syndrome	n_switch_errors_grch38	n_switch_errors_chm13	n_checked_grch38	n_checked_chm13	switch_error_rate_grch38	switch_error_rate_chm13	n_gt_checked_grch38	n_gt_checked_chm13	genotype_error_rate_grch38	genotype_error_rate_chm13	abs_diff_GER	rel_drop_GER	abs_diff_SER	rel_drop_SER
1q21.1 susceptibility locus for Thrombocytopenia-Absent Radius (TAR) syndrome	593.0	407	26868.0	33819	2.207086496948042	1.2034655075549248	233868.0	236838	3.501547881711051	1.0851299200297249	2.4164179616813257	69.00999338899601	1.0036209893931174	45.47266229850637
8p23.1 deletion syndrome/8p23.1 duplication syndrome	3855.0	1652	253345.0	195967	1.5216404507687145	0.842999076375104	1672655.0	1245983	1.5585999503782908	0.4972780527503184	1.0613218976279724	68.09456765158866	0.6786413743936105	44.59932529072614
Recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus)	1205.0	456	51892.0	30960	2.3221305788946274	1.4728682170542635	400923.0	227521	2.152782454486273	1.3866851851037925	0.7660972693824804	35.58637649549672	0.8492623618403639	36.57254977644826
Angelman syndrome (Type 1)/Prader-Willi syndrome (Type 1)	3905.0	2053	321408.0	264086	1.2149666467542812	0.7773982717751036	2088376.0	1661250	2.2626193750550665	0.6995936794582392	1.5630256955968274	69.08036379555828	0.43756837497917767	36.01484667485468
Angelman syndrome (Type 2)/Prader-Willi Syndrome (Type 2)	3875.0	2053	321152.0	264086	1.2065937624551615	0.7773982717751036	2085222.0	1661250	2.243022565463054	0.6995936794582392	1.5434288860048149	68.81022553093158	0.4291954906800579	35.57083618655018
Cat-Eye Syndrome (Type I)	1306.0	595	86506.0	55133	1.509721869003306	1.0792084595432863	621759.0	369232	2.1553367140644526	2.1003054989816703	0.0550312150827823	2.553253731710736	0.4305134094600198	28.516074271629765
22q11 deletion syndrome (Velocardiofacial / DiGeorge syndrome)/22q11 duplication syndrome	948.0	1200	70000.0	122302	1.3542857142857143	0.981177740347664	477279.0	820808	1.2212982343660628	1.106105203652986	0.11519303071307685	9.432014840574132	0.3731079739380503	27.55016685196574
16p11.2-p12.2 microdeletion syndrome	5276.0	3452	346152.0	306186	1.5241859067692807	1.127419281090579	2417849.0	2075069	1.778771130868801	1.320968122023894	0.457803008844907	25.737038391291144	0.3967666256787017	26.031380025006435
16p11.2-p12.2 microduplication syndrome	4810.0	3204	330050.0	293185	1.4573549462202695	1.092825349182257	2274703.0	1964002	1.7634829689854015	1.3115567092090539	0.4519262597763476	25.626913768061954	0.36452959703801247	25.01309636224449
ATR-16 syndrome	1220.0	861	80501.0	74378	1.5155091241102596	1.1576003656995348	612872.0	552199	1.420198671174405	0.9067383316521762	0.5134603395222288	36.15412054270076	0.3579087584107248	23.61640406624734
Xp11.22-linked intellectual disability	549.0	359	18475.0	15743	2.971583220568336	2.280378580956616	277017.0	227721	2.162322167953591	1.8680754080651323	0.29424675988845883	13.607905623375826	0.69120463961172	23.26048400150551
3q29 microdeletion syndrome/3q29 microduplication syndrome	1926.0	1309	124870.0	108060	1.5424041002642748	1.2113640570053674	873531.0	732681	2.3679754925698115	0.8490734712651209	1.5189020213046907	64.14348569360926	0.33104004325890735	21.462601350851386
Xq28 Microduplication	482.0	357	21070.0	19696	2.287612719506407	1.8125507717303004	294762.0	263328	2.5973497262197975	2.1080173775671405	0.48933234865265707	18.83967891242875	0.47506194777610666	20.76671211544101
Xq28 (MECP2) duplication	458.0	332	22596.0	20465	2.0269074172419894	1.6222819447837773	290082.0	257322	2.4934328913893316	2.066282711932909	0.42715017945642275	17.13100765340495	0.4046254724582121	19.96270125691214
16p13.11 recurrent microdeletion (neurocognitive disorder susceptibility locus)/16p13.11 recurrent microduplication (neurocognitive disorder susceptibility locus)	1633.0	1180	97829.0	88169	1.66923918265545	1.338338871939117	694538.0	612937	3.6188084741223663	2.4038359570396306	1.2149725170827357	33.573827567025106	0.3309003107163331	19.823421002491205
NF1-microdeletion syndrome	1370.0	880	109210.0	87072	1.2544638769343466	1.0106578463800073	792271.0	611383	1.2975358179208882	0.9885783543212684	0.30895746359961984	23.811093253262104	0.24380603055433925	19.43507780791196
15q24 recurrent microdeletion syndrome	1401.0	1033	105401.0	95429	1.3292094002903199	1.0824801685022372	772306.0	687895	1.1582196694056501	0.9170004143074161	0.24121925509823405	20.82672756041327	0.2467292317880827	18.562104039754246
Steroid sulphatase deficiency (STS)	969.0	746	68291.0	64265	1.4189278235785097	1.160818485956586	707616.0	653913	1.2130873241984352	1.030106451469844	0.18298087272859132	15.083899491695584	0.2581093376219237	18.190448684766547
RCAD (renal cysts and diabetes)	1779.0	1246	108799.0	92400	1.635125322843041	1.3484848484848484	743450.0	631942	1.506086488667698	1.2379300632020027	0.2681564254656952	17.804849023173265	0.2866404743581925	17.53018379409611
Pelizaeus-Merzbacher disease	423.0	315	21444.0	19308	1.9725797425853386	1.6314481044126787	273741.0	241059	1.5690013552956992	1.4747426978457556	0.09425865744994355	6.0075574270093135	0.3411316381726599	17.293680494029594
Charcot-Marie-Tooth syndrome type 1A (CMT1A)/Hereditary Liability to Pressure Palsies (HNPP)	1853.0	1275	180077.0	148900	1.0290042592890818	0.8562793821356616	1127450.0	932171	0.9853208568007451	0.8361126874790139	0.1492081693217312	15.143104735060387	0.17272487715342022	16.78563286732674
Potocki-Lupski syndrome (17p11.2 duplication syndrome)/Smith-Magenis Syndrome	2435.0	1494	183841.0	135431	1.3245141181782083	1.1031447748299872	1261175.0	926206	1.9747457727912463	1.5521385091437543	0.422607263647492	21.400590874548307	0.22136934334822111	16.713249055638734
16p11.2 microduplication syndrome	1218.0	696	59152.0	40482	2.059101974573979	1.7192826441381357	466819.0	319699	2.976742591882507	2.720684143522501	0.2560584483600059	8.601968106287394	0.3398193304358432	16.503278352989327
2p21 Microdeletion Syndrome	1055.0	852	103007.0	96985	1.024202238682808	0.8784863638707017	690117.0	640564	0.9549105441541071	0.6653511592908748	0.2895593848632323	30.323194841222957	0.14571587481210635	14.227256034853685
Cri du Chat Syndrome (5p deletion)	6777.0	5073	681629.0	585514	0.9942358673119834	0.8664182239878124	4292630.0	3680807	1.0403645317672383	0.6921579968740551	0.3482065348931832	33.46966608922109	0.127817643324171	12.85586725710659
15q13.3 microdeletion syndrome	1113.0	838	108075.0	93341	1.0298403886190144	0.8977833963638702	729925.0	613063	1.1582011850532588	0.7178707571652505	0.44033042788800825	38.018474991265016	0.13205699225514422	12.82305430186408
15q26 overgrowth syndrome	2535.0	2053	236235.0	217544	1.073084005333672	0.9437171330857206	1487387.0	1360512	0.7370643954801273	0.5284775143475398	0.2085868811325875	28.299682146050888	0.12936687224795151	12.055614621496968
Early-onset Alzheimer disease with cerebral amyloid angiopathy	905.0	773	106422.0	103211	0.8503880776531167	0.7489511776845491	658957.0	636875	0.954387008560498	0.7604317958783121	0.19395521268218585	20.322490870315647	0.10143689996856764	11.928306926469512
12p13.33 Microdeletion Syndrome	1234.0	885	103080.0	83294	1.1971284439270469	1.0625015007083345	668950.0	536415	1.2278944614694671	0.8066515664177922	0.4212428950516749	34.30611573469904	0.13462694321871238	11.245822777135228
Rubinstein-Taybi Syndrome	1370.0	1123	96496.0	88636	1.4197479688277235	1.2669795568392075	693216.0	629637	1.036184969764114	0.7250209247550573	0.3111640450090566	30.02977789572576	0.15276841198851598	10.760248673900607
Xp11.22-p11.23 Microduplication	1267.0	962	68509.0	58203	1.8493920506794728	1.652835764479494	817713.0	678483	1.6491116076178318	1.7043905300501265	-0.05527892243229471	-3.35204252865251	0.19655628619997878	10.628156757122609
Adult-onset autosomal dominant leukodystrophy (ADLD)	750.0	538	90238.0	72307	0.8311354418316008	0.7440496770713763	615304.0	492267	0.874202020464681	0.7404518279714059	0.13375019249327513	15.299689243703696	0.08708576476022456	10.47792698724419
Leri-Weill dyschondrostosis (LWD) - SHOX deletion	2427.0	1798	135221.0	111790	1.794839558944247	1.6083728419357723	895479.0	678249	3.880046321577614	3.0245529296762697	0.8554933919013443	22.0485355327795	0.18646671700847461	10.389046535065082
8q21.11 Microdeletion Syndrome	1173.0	935	96817.0	85205	1.2115640848198148	1.0973534416994308	684134.0	604825	0.9736396670827645	0.8924895630967634	0.08115010398600109	8.3347162949045	0.11421064312038398	9.426710856765741
Wolf-Hirschhorn Syndrome	1552.0	1068	112291.0	84504	1.382123233384688	1.2638454984379437	767391.0	583540	0.8909408632626653	0.5610583678925181	0.32988249537014724	37.02630656787957	0.11827773494674432	8.557683720943853
Sotos syndrome	1850.0	1157	130639.0	88271	1.4161161674538232	1.3107362553953168	914478.0	611992	1.6107549880915668	1.1974012732192578	0.413353714872309	25.662109875695815	0.10537991205850639	7.44147369265471
WAGR 11p13 deletion syndrome	947.0	726	87076.0	71273	1.0875556984703019	1.0186185512045234	607299.0	498338	1.291785430241117	1.048685831704586	0.24309959853653096	18.81888375929085	0.06893714726577849	6.338723374144594
17q21.31 recurrent microdeletion syndrome (Koolen de Vries syndrome)	1047.0	792	76602.0	61290	1.3668050442547193	1.2922173274596183	603303.0	469435	3.801738098434783	3.3793815970262124	0.4223565014085704	11.10956332269335	0.07458771679510101	5.457085274057616
2p15-16.1 microdeletion syndrome	1620.0	1445	149949.0	139989	1.0803673248904628	1.0322239604540357	1073995.0	985081	0.9064288008789614	0.762576884540459	0.14385191633850236	15.870183758394429	0.04814336443642708	4.4562033048628376
Miller-Dieker syndrome (MDS)	2345.0	1758	185341.0	144014	1.2652354309084335	1.2207146527420947	1206440.0	926765	1.4194655349623686	1.180342373740916	0.2391231612214526	16.845999802861854	0.044520778166338815	3.5187742200969763
Potocki-Shaffer syndrome	1458.0	1232	139059.0	119438	1.0484758268073264	1.031497513354209	986545.0	842710	0.8534836221358376	0.718989925359851	0.13449369677598666	15.75820476079166	0.0169783134531174	1.6193328466920787
Familial Adenomatous Polyposis	816.0	688	98220.0	83306	0.8307880268784361	0.8258708856504933	666190.0	565274	0.6040318827961992	0.5363770490063225	0.06765483378987669	11.200540189482588	0.004917141227942845	0.5918647198634108
1p36 microdeletion syndrome	6847.0	5279	544199.0	421895	1.2581794527369583	1.2512591995638727	3926653.0	3035821	1.2930605276300198	1.0357330027033873	0.25732752492663247	19.900655802886046	0.006920253173085644	0.5500211562056379
12q14 microdeletion syndrome	2086.0	1717	212846.0	175872	0.9800513046991721	0.9762782023289664	1409469.0	1168073	0.8877811431113418	0.7591991253971284	0.1285820177142134	14.4835265664217	0.003773102370205672	0.3849902910301073
1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)/1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders)	958.0	510	74338.0	36329	1.2887083322123274	1.4038371548900328	557411.0	256529	2.030996876631426	1.4781954476881756	0.5528014289432506	27.21823136725433	-0.11512882267770541	-8.933660146362499
