genome	region	type	n_switch_errors	n_checked	n_gt_errors	n_gt_checked	MAC	AN	switch_error_rate	gt_error_rate	MAF
GRCh38	All	SNP	612285.0000	81308783.0000	1972816	548627776	6951241763	68287523496	0.7530	0.3596	10.1794
GRCh38	in STRs	SNP	35360.0000	3016114.0000	664361	21765885	268324272	2713912828	1.1724	3.0523	9.8870
GRCh38	In segmental duplications	SNP	38048.0000	2897335.0000	400423	20327244	257801803	2538517880	1.3132	1.9699	10.1556
GRCh38	in Platinum STRs	SNP	70778.0000	7332329.0000	973393	51016940	643176040	6352810936	0.9653	1.9080	10.1243
GRCh38	not in STRs	SNP	576925.0000	78292669.0000	1308455	526861891	6682917491	65573610668	0.7369	0.2483	10.1915
GRCh38	Not in segmental duplications	SNP	574237.0000	78411448.0000	1572393	528300532	6693439960	65749005616	0.7323	0.2976	10.1803
GRCh38	not in Platinum STRs	SNP	541507.0000	73976454.0000	999423	497610836	6308065723	61934712560	0.7320	0.2008	10.1850
GRCh38	Complex/overlapping variants	SNP	59184.0000	5572680.0000	1037964	37089135	504579693	4620608120	1.0620	2.7986	10.9202
GRCh38	Isolated variants	SNP	553101.0000	75736103.0000	934852	511538641	6446662070	63666915376	0.7303	0.1828	10.1256
CHM13v2.0	All	SNP	541932.0000	83228986.0000	1210213	557638786	7084478576	69405070100	0.6511	0.2170	10.2074
CHM13v2.0	in STRs	SNP	22347.0000	2535306.0000	369270	17560137	221874488	2187922064	0.8814	2.1029	10.1409
CHM13v2.0	In segmental duplications	SNP	10916.0000	1402035.0000	94780	9567956	123788072	1192980648	0.7786	0.9906	10.3764
CHM13v2.0	in Platinum STRs	SNP	51840.0000	6671398.0000	574295	45491258	577084939	5663856048	0.7770	1.2624	10.1889
CHM13v2.0	not in STRs	SNP	519585.0000	80693680.0000	840943	540078649	6862604088	67217148036	0.6439	0.1557	10.2096
CHM13v2.0	Not in segmental duplications	SNP	531016.0000	81826951.0000	1115433	548070830	6960690504	68212089452	0.6490	0.2035	10.2045
CHM13v2.0	not in Platinum STRs	SNP	490092.0000	76557588.0000	635918	512147528	6507393637	63741214052	0.6402	0.1242	10.2091
CHM13v2.0	Complex/overlapping variants	SNP	44556.0000	5357751.0000	641548	34268085	479251465	4268396588	0.8316	1.8721	11.2279
CHM13v2.0	Isolated variants	SNP	497376.0000	77871235.0000	568665	523370701	6605227111	65136673512	0.6387	0.1087	10.1406
GRCh38	All	Indel	376231.0000	16474642.0000	4655208	111935479	1552855246	13930679092	2.2837	4.1588	11.1470
