chrom	start_hg19	end_hg19	Syndrome	Type	Phenotypes	cytoband	start_grch38	end_grch38	start_chm13	end_chm13
chr1	10001	12840259	1p36 microdeletion syndrome	Deletion	Deeply set eye, Delayed cranial suture closure, Intellectual disability, Muscular hypotonia, Pointed chin, Seizures	1p36.33,1p36.32,1p36.31,1p36.23,1p36.22,1p36.21	10001	12780116	0	12324390
chr1	145386506	145748067	1q21.1 susceptibility locus for Thrombocytopenia-Absent Radius (TAR) syndrome	Deletion		1q21.1	146048495	145686995	145165377	146797563
chr1	146533376	147883376	1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)	Deletion	Intellectual disability, Microcephaly	1q21.1,1q21.2	147061832	148411223	147746604	146396098
chr1	146533376	147883376	1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders)	Duplication	Autism, Intellectual disability	1q21.1,1q21.2	147061832	148411223	147746604	146396098
chr11	31806339	32457087	WAGR 11p13 deletion syndrome	Deletion	Abnormality of the male genitalia, Aniridia, Intellectual disability, Renal neoplasm	11p13	31784791	32435541	31920604	32571026
chr11	43994800	46052450	Potocki-Shaffer syndrome	Deletion	Abnormality of the male genitalia, Delayed cranial suture closure, Intellectual disability, Multiple exostoses, Parietal foramina	11p11.2	43973250	46030899	44128586	46186902
chr12	1080000	1346471	12p13.33 Microdeletion Syndrome	Deletion		12p13.33	970834	1237305	966705	1231608
chr12	65071919	68645525	12q14 microdeletion syndrome	Deletion	Intellectual disability, Osteopoikilosis, Proportionate short stature	12q14.3,12q15	64678139	68251745	64657050	68231266
chr15	22749354	28438266	Angelman syndrome (Type 1)	Deletion	EEG abnormality, Intellectual disability, Microcephaly, Seizures, Truncal ataxia	15q11.2,15q12,15q13.1	23123712	28193120	20807475	25935855
chr15	22749354	28438266	Prader-Willi syndrome (Type 1)	Deletion	Feeding difficulties in infancy, Hypogonadism, Intellectual disability, Muscular hypotonia, Truncal obesity	15q11.2,15q12,15q13.1	23123712	28193120	20807475	25935855
chr15	23619912	28438266	Angelman syndrome (Type 2)	Deletion	EEG abnormality, Intellectual disability, Microcephaly, Seizures, Truncal ataxia	15q11.2,15q12,15q13.1	23374765	28193120	21111068	25935855
chr15	23619912	28438266	Prader-Willi Syndrome (Type 2)	Deletion	Feeding difficulties in infancy, Hypogonadism, Intellectual disability, Muscular hypotonia, Truncal obesity	15q11.2,15q12,15q13.1	23374765	28193120	21111068	25935855
chr15	30910306	32445407	15q13.3 microdeletion syndrome	Deletion	Abnormality of the face, Intellectual disability, Seizures	15q13.2,15q13.3	30618103	32153206	28411284	29947360
chr15	74412643	75972911	15q24 recurrent microdeletion syndrome	Deletion	Abnormality of the face, Hypospadias, Intellectual disability, Joint laxity, Microcephaly, Short stature, Small for gestational age	15q24.1,15q24.2	74120302	75680570	71986221	73551280
chr15	99357970	102521392	15q26 overgrowth syndrome	Duplication	Abnormality of the kidney, Intellectual disability, Tall stature	15q26.3	98814741	101991189	96579126	99753195
chr16	60001	834372	ATR-16 syndrome	Deletion	Abnormality of erythrocytes, Intellectual disability	16p13.3	10001	784372	0	789083
chr16	3775055	3930121	Rubinstein-Taybi Syndrome	Deletion		16p13.3	3725054	3880120	3752324	3907325
chr16	14986684	16486684	16p13.11 recurrent microdeletion (neurocognitive disorder susceptibility locus)	Deletion		16p13.11	14892827	16392827	14891230	16405045
chr16	14986684	16486684	16p13.11 recurrent microduplication (neurocognitive disorder susceptibility locus)	Duplication		16p13.11	14892827	16392827	14891230	16405045
chr16	21475060	29284077	16p11.2-p12.2 microduplication syndrome	Duplication	Abnormal facial shape, Autism, Global developmental delay, Intellectual disability, Microcephaly, Short Stature	16p11.2,16p12.1,16p12.2	21463739	29272756	21398763	29554799
chr16	21512062	30199854	16p11.2-p12.2 microdeletion syndrome	Deletion	Abnormality of the face, Feeding difficulties in infancy, Intellectual disability, Pointed chin	16p11.2,16p12.1,16p12.2	21500741	30188533	21435476	30473115
chr16	21946524	22467284	Recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus)	Deletion	Delayed speech and language development, Intellectual disability, Microcephaly	16p12.1	21935203	22455963	22281999	22733641
chr16	29606852	30199855	16p11.2 microduplication syndrome	Duplication		16p11.2	29595531	30188534	29877571	30473116
chr17	1	2588909	Miller-Dieker syndrome (MDS)	Deletion	Abnormality of the heart, Frontal bossing, Lissencephaly, Microcephaly, Midface retrusion	17p13.3	150208	2685615	55466	2574760
chr17	14097915	15470903	Charcot-Marie-Tooth syndrome type 1A (CMT1A)	Duplication	Abnormality of the motor neurons, Decreased motor nerve conduction velocity, Hypertrophic nerve changes, Impaired pain sensation, Impaired proprioception, Impaired temperature sensation, Impaired vibratory sensation, Pes cavus	17p12	14194598	15567589	14102393	15473806
