method_of_phasing	ground_truth_data_source	genome_grch38	chrom	interval	start_grch38	end_grch38	n_switch_errors_grch38	n_checked_grch38	n_gt_errors_grch38	n_gt_checked_grch38	MAC_grch38	AN_grch38	multiallelic_grch38	MAF_grch38	decipher	switch_error_rate_grch38	genotype_error_rate_grch38	genome_chm13	start_chm13	end_chm13	n_switch_errors_chm13	n_checked_chm13	n_gt_errors_chm13	n_gt_checked_chm13	MAC_chm13	AN_chm13	multiallelic_chm13	MAF_chm13	switch_error_rate_chm13	genotype_error_rate_chm13	abs_diff_SER	rel_drop_SER	abs_diff_GER	rel_drop_GER
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p11.1	87800000	90900000	1022	96498	5280	724197	7610613	90111344	3269	156853.64	False	1.0590893075504155	0.7290833847696138	CHM13v2.0	91738002	94076514	0	4	4	76	27	9704	1	0.5564716	0.0	5.263157894736842	1.0590893075504155	100.0	-4.534074509967228	-621.886961722488
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr22	22q11.1	15000000	17400000	1262	80053	12949	582391	7679468	74390864	2925	158274.75	True	1.576455598166215	2.2234203481853254	CHM13v2.0	14249622	15711065	0	0	20	148	922	19408	2	19.002474		13.513513513513514	1.576455598166215	100.0	-11.290093165328189	-507.78041923304113
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr8	8p11.1	43200000	45200000	303	25463	2166	204356	1364976	26171688	842	28132.258	False	1.1899619055099557	1.0599150502065022	CHM13v2.0	44215832	45270456	0	3	0	37	53	4852	1	1.0923331	0.0	0.0	1.1899619055099557	100.0	1.0599150502065022	100.0
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9p12	39000000	40000000	1014	7402	15550	91706	809167	11445868	255	16676.986	False	13.699000270197246	16.95636054347589	CHM13v2.0	39013701	40014198	72	2617	1268	24790	203240	3250840	270	4188.786	2.751241880015285	5.114965711980638	10.94775839018196	79.9164769271468	11.84139483149525	69.8345308306819
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q11.22	45500000	48600000	1771	70591	32702	580390	6407650	72425804	2362	132062.3	False	2.508818404612486	5.6344871551887525	CHM13v2.0	46381004	49449041	552	44214	13173	322394	3913608	40164856	1362	80659.76	1.248473334238024	4.0859941562187885	1.2603450703744619	50.236600148392796	1.548492998969964	27.482412441813263
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10p12.32	18300000	18400000	45	4865	268	30026	459673	3736040	148	9473.89	False	0.9249743062692704	0.8925597815226803	CHM13v2.0	18319354	18419356	22	4522	159	28157	424149	3503144	124	8741.737	0.4865103936311367	0.5646908406435345	0.43846391263813367	47.40282077743379	0.32786894087914586	36.73355529416879
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6p21.32	32100000	33500000	976	203990	17722	914834	20197156	114075372	3562	416264.66	False	0.47845482621697144	1.9371820461417044	CHM13v2.0	31953196	33321362	477	171938	5661	767662	16583560	95564992	2730	341790.56	0.27742558364061465	0.7374339227420401	0.2010292425763568	42.01634753396621	1.1997481233996643	61.932647258899024
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q11.2	20500000	25500000	1927	151041	35749	1003012	12900356	125210712	4407	265877.03	True	1.2758125277242602	3.5641647358157234	CHM13v2.0	17694466	23236963	857	111492	5767	721733	9331467	91266120	3290	192320.92	0.7686650163240413	0.799048955777275	0.507147511400219	39.7509430562535	2.7651157800384483	77.58103188251206
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16p12.2	21200000	24200000	1462	71002	10249	535588	6299178	66676184	2950	129826.22	True	2.0590969268471313	1.9135977654465748	CHM13v2.0	21130950	24476520	792	63060	5334	440490	5637971	54832452	2416	116199.17	1.2559467174119887	1.2109241980521692	0.8031502094351426	39.004973440707246	0.7026735673944056	36.720024452496325
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr8	8p23.1	6300000	12800000	4470	315945	29842	2058897	27201068	256331160	8860	560624.8	True	1.414803209419361	1.4494168479530545	CHM13v2.0	6054502	13066163	2001	226297	9312	1447837	19377216	181668584	6003	399370.25	0.8842362028661449	0.6431663232808665	0.5305670065532161	37.501116976612046	0.8062505246721879	55.62585572334273
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q13.1	27800000	30000000	1339	87031	8145	584572	7660572	72741184	2693	157885.39	True	1.5385322471303329	1.3933270837467413	CHM13v2.0	25542506	27791711	702	72296	3789	462218	6343572	57510756	2077	130741.21	0.9710080779019586	0.8197430649606895	0.5675241692283742	36.88737563264722	0.5735840187860518	41.16650178389194
